"Album Privacy";"Album Privacy"
"View Privacy";"View Privacy"
"Blog Entry Privacy";"Blog Entry Privacy"
"Privacy Statement";"Privacy Statement"
"_CORE_PRIVACY_STATEMENT";"Tarfee Inc. (“Tarfee”/“we”/”us”/“our”) is committed to protecting your privacy.  We make the website, www.arfee.com (the “Website”) available together with our services as further described in our Terms of Use (the “Services”).  This Privacy Policy describes how we collect, store, use and distribute information about our users through the Website and Services.  

Consent: By using the Website or our Services you consent to the use of your Personal Information as described in this Privacy Policy.  Except as set forth in this Privacy Policy, your Personal Information will not be used for any other purpose without your consent. We will not actively collect Personal Information for the purpose of sale or marketing in a way that specifically identifies the individual.  In other words, we don’t sell customer lists.  You may withdraw your consent to our processing of your Personal Information at any time.  However, withdrawing consent may result in your inability to continue using the Website and/or the Services. 

Collection of Information: We aim to collect, use and disclose only such information as is required to enable us to manage your account, to provide the Services, to maintain our customer/visitor lists, to respond to your inquiries or provide feedback, for identification and authentication purposes and for service improvement.  We will maintain the confidentiality of any contact information you provide to us on signing up for our Services or contacting us with questions or for further information and we will use it only for the purposes for which we have collected it (subject to the exclusions and disclosures we have listed below), unless you agree that we may disclose it to other third parties.

Two types of information may be collected through the Website and our Services: Personal Information and Non-Personal Information.  This Privacy Policy does not extend to the collection, use or disclosure of the following information which is currently not limited by applicable privacy laws: (a) information that is publicly available, such as names, addresses, telephone numbers and electronic address when listed in a directory or made available through directory assistance; or (b) Non-Personal Information (as defined further below).

""Personal Information"" is personally identifiable information, such as your name, address, e-mail address, credit card information, birth date and gender.  At the time of collection, we will clearly identify the information being collected and the purposes for which it will be used.  It is always your choice whether or not to provide Personal Information but if you choose not to provide certain requested Personal Information, in some instances you may not be able to register to use the Website or Services or be able to access and use the Website or Services at all.  In other instances, your choice not to provide certain other Personal Information may mean that you will not be able to use certain features of the Website or Services.  We may collect Personal Information in respect of the Website or Services through registration processes; communications with you; information downloads; service use; purchases; user support; and surveys.

""Non-Personal Information"" is information of an anonymous nature, such as an Internet Protocol Address (IP Address), the domain used to access the Website or Services, and the type and version of browser or operating system being used by visitors to access the Website or Services.  Aggregate information, such as demographic statistics of our users (e.g. average age or geographical location of our users), number of visitors, what pages users access or visit, and average time spent on the Website or Services is not considered Personal Information.  Similarly, business contact information such as the name, title, business address, e-mail address, or telephone number of a business or professional person or an employee of an organization is not considered Personal Information.

Although the use of certain Non-Personal Information collected, used or disclosed through the Internet as described herein is not restricted (and to the extent that such is the case, the obligations under this Privacy Policy do not apply to such information), we provide information in this Privacy Policy about the collection of such information for the sake of transparency with respect to the operation of the Website and Services.  Such Non-Personal Information is collected or derived by us in the course of operating this Website and our Services.  For example, our servers may automatically collect Non-Personal Information that is provided through your browser or stored in a cookie.

Use of Information: We collect information for the following purposes: 

•	Registration:  In order to register for our Services you must provide certain Personal Information to us such as your email address, username, full name, and password. You also have the option to register for an account using your credentials with any third-party provider we support such as Facebook, Twitter, LinkedIn and Google.  If you register using your credentials with any third-party provider, we will also collect and use the Personal Information associated with your third-party account pursuant to this Privacy Policy.  The information we will have access to in respect of your third-party account will depend on the third-party provider’s privacy policy as well as any applicable privacy preferences you may have selected in respect of your Facebook account.

•	Account Integration:  If you integrate your account with any third-party platform that we support from time to time such as Vimeo or YouTube, the information we will have access to in respect of your third-party account will depend on the third-party provider’s privacy policy as well as any applicable privacy preferences you may have selected in respect of your third-party account.

•	Posting Public Talks, Content and Following: If you choose to post content such as a ‘Talk’ or a photo, video or comment on the Website, your username, profile photo and the content of your post or comment will be made publicly available on the Website.  The list of users you follow as well as the list of users who follow you are also publicly available information on the Website.

•	Sharing Features: If you use any third-party platforms that we support such as Facebook or Twitter to share content, such content will be publicly available and searchable on the Internet. 

•	Direct Messages: Users have the ability to send messages to each other through the Services.  If you send a message to another user, they will be able to see your username, profile photo and the content of your message.   If you receive a message from another user, we will send you an email to let you know that you have received a new message.

•	Metadata: We collect and use various metadata derived from your use of the Service.  For example, if you post a comment on Facebook, we also collect the time that such comment was posted.  In cases where content is made publicly available such as public comments, the associated metadata may also be made publicly available. 

•	Location Information: If you enable location services on your computer or mobile device, we will collect and use information about your location by tracking Bluetooth and WiFi signals to deliver certain features of the Services to you for example displaying related content & services.

•	Referrals:  If you want to invite a friend to join our Service, you may do so by providing us with their name and email address.  We will use this information to send your friend one email inviting them to join our Service.  If they do not set up an account to use our Service, we will delete their contact information.

•	Transactional Notifications: We provide notifications for certain activities relating to your use of our Services despite your indicated e-mail preferences, for example we may send you notices of any updates to our Terms of Service or Privacy Policy.

•	Marketing Communications:  If you opt-in to receive marketing communications from us, we will keep you up to date on our products and services.  You may withdraw your consent to receiving marketing communications from us at any time by following the opt-out instructions in each communication.

•	Statistics: We also collect statistics about use of the Services which we use for analytics including predictive analytics.  Aggregate statistics that do not personally identify an individual will be kept by us and such aggregate statistics may be made available to other members or third parties.  

•	System Logs & Cookies: Cookies are used by us to track content usage and traffic on the Website and Services.  A cookie is a feature of your web browser that consists of a text file that is placed on your hard disk by a web server.  The Website uses cookies to help it compile aggregate statistics about usage of this Website, such as how many users visit the Website, how long users spend viewing the Website, and what pages are viewed most often.  This information is used to improve the content of the Website.  You can set your browser to notify you when you are sent a cookie.  This gives you the chance to decide whether or not to accept it.  If you disable cookies, you may not be able to take advantage of all the features of the Website or Services.  

Your IP address is reported by your web browser whenever you visit a page on the Website.  This information is recorded together with your registration information on our databases.  

•	Advertisements:  Advertisements appearing on the Website may be delivered by us or one or more third-party web advertisers. These third party web advertisers may set cookies. These cookies allow the advertisement server operated by that third party to recognize your computer each time they send you an online advertisement. Accordingly, advertisement servers may compile information about where or whether you viewed their advertisements and which advertisements you clicked on. This information allows web advertisers to deliver targeted advertisements that they believe will be of most interest to you.  The Privacy Policy applies to cookies placed on your computer by us, but does not cover the use of cookies by any third-party web advertisers.  For the privacy practices of such third-party web advertisers, you should consult the applicable privacy policy for the relevant third-party web advertiser(s).

•	Third-Party Links: The Website may contain links to other third-party websites that are not owned or controlled by us.  Such third-party websites are governed by the terms and conditions and privacy policies of such third-party providers and we are not involved in any interaction or transaction between you and such third-parties.

If we plan to use your Personal Information in future for any other purposes not identified above, we will only do so after informing you by updating this Privacy Policy.  See further the section of this Privacy Policy entitled ‘Amendment of this Policy’.

Disclosures & Transfers:  We have put in place contractual and other organizational safeguards with our agents (see further below) to ensure a proper level of protection of your Personal Information (see further Security below).  In addition to those measures, we will not disclose or transfer your Personal Information to third parties without your permission, except as specified in this Privacy Policy (see further Important Exceptions below).

As at the date of this Privacy Policy, we share Personal Information about you in respect of the Website or Services only with our service providers and partners. Our service providers are located in Canada and the United States and accordingly your Personal Information may be available to Canadian and United States governments under a lawful order, irrespective of the safeguards we have put in place for the protection of your Personal Information. 

From time to time we may employ third parties to help us improve the Website and/or the Services. These third parties may have limited access to databases of user information solely for the purpose of helping us to improve the Website and/or the Services and they will be subject to contractual restrictions prohibiting them from using the information about our members for any other purpose.

Important Exceptions: We may disclose your Personal Information to third parties without your consent if we have reason to believe that disclosing this information is necessary to identify, contact or bring legal action against someone who may be causing injury to or interference with (either intentionally or unintentionally) our rights or property, other Website members, other users of the Services, or anyone else (including the rights or property of anyone else) that could be harmed by such activities.  We may disclose Personal Information when we believe in good faith that such disclosure is required by and in accordance with the law. 

We may also disclose your Personal Information in connection with a corporate re-organization, a merger or amalgamation with another entity, a sale of all or a substantial portion of our assets or stock, including any due diligence exercise carried out in relation to the same, provided that the information disclosed continues to be used for the purposes permitted by this Privacy Policy by the entity acquiring the information.

Security: The security of your Personal Information is important to us.  We use commercially reasonable efforts to store and maintain your Personal Information in a secure environment.  We take technical, contractual, administrative, and physical security steps designed to protect Personal Information that you provide to us.  We have implemented procedures designed to limit the dissemination of your Personal Information to only such designated staff as are reasonably necessary to carry out the stated purposes we have communicated to you. 

In certain areas, such as when you provide credit card or other payment information to us, the Website works to help protect the security of your credit card and other payment information during transmission by using industry standard Secure Sockets Layer (SSL) encryption technology. 

You are also responsible for helping to protect the security of your Personal Information.  For instance, never give out your email account information or your password for the Services to third parties. 

Retention: We will keep your Personal Information for as long as it remains necessary for the identified purpose or as required by law, which may extend beyond the termination of our relationship with you.  We may retain certain data as necessary to prevent fraud or future abuse, or for legitimate business purposes, such as analysis of aggregated, non-personally-identifiable data, account recovery, or if required by law. All retained personal information will remain subject to the terms of this Privacy Policy.  If you request that your name be removed from our databases, it may not be possible to completely delete all your Personal Information due to technological and legal constraints.

Amendment of this Policy: We reserve the right to change this Privacy Policy at any time.  If we decide to change this Privacy Policy in the future, we will post an appropriate notice on the home page.   Any non-material change (such as clarifications) to this Privacy Policy will become effective on the date the change is posted and any material changes will become effective 30 days from their posting on the Website.  Unless stated otherwise, our current Privacy Policy applies to all Personal Information that we have about you.  The date on which the latest update was made is indicated at the bottom of this document.  We recommend that you print a copy of this Privacy Policy for your reference and revisit this policy from time to time to ensure you are aware of any changes.  Your continued use of the Website and Services signifies your acceptance of any changes.

Access and Accuracy: You have the right to access the Personal Information we hold about you in order to verify the Personal Information we have collected in respect to you and to have a general account of our uses of that information.  Upon receipt of your written request, we will provide you with a copy of your Personal Information although in certain limited circumstances, we may not be able to make all relevant information available to you such as where that information also pertains to another user.  In such circumstances we will provide reasons for the denial to you upon request.  We will endeavor to deal with all requests for access and modifications in a timely manner.

We will make every reasonable effort to keep your Personal Information accurate and up-to-date, and we will provide you with mechanisms to update, correct, delete or add to your Personal Information as appropriate.  As appropriate, this amended Personal Information will be transmitted to those parties to which we are permitted to disclose your information.  Having accurate Personal Information about you enables us to give you the best possible service.

Contact Us: You can help by keeping us informed of any changes such as a change of address or telephone number.  If you would like to access your information, if you have any questions, comments or suggestions of if you find any errors in our information about you, please contact us at: privacy@tarfee.com.



Last Updated: July 21, 2015
"
"Rebuild Privacy";"Rebuild Privacy"
"Event Privacy";"Event Privacy"
"Group Privacy";"Group Privacy"
"Privacy Settings";"Privacy Settings"
"Profile Privacy";"Profile Privacy"
"Profile Posting Privacy";"Profile Posting Privacy"
"Recent Activity Privacy";"Recent Activity Privacy"
"USER_FORM_ADMIN_SETTINGS_LISTS_DESCRIPTION";"Using friend lists, your members can organize their friends under various labels that they create. They can then use these lists to send messages to multiple friends and customize their privacy settings."
"Specify what privacy options will be available to members in this level.";"Specify what privacy options will be available to members in this level."
"Search Privacy Options";"Search Privacy Options"
"YNMEMBER_GET_NOTIFICATION";"Your members can choose from any of the options checked below when they decide who can get notification for their actions. These options appears on your members ""Privacy"" page. If you do not check any options, everyone will be allowed to get notification"
"Video Privacy";"Video Privacy"
"Video Playlist Privacy";"Video Playlist Privacy"
"Feedback Privacy";"Feedback Privacy"
"Please select privacy!";"Please select privacy!"
"Player Card Privacy";"Player Card Privacy"
"Write New Entry";"Add new Talk"
"Tags (Keywords)";"Tags"
"Compose your new blog entry below, then click ""Post Entry"" to publish the entry to your blog.";"If you have a question, topic or blog that you want to share and get answers, this is the right place. ""NOT WORKING"""
"Post Entry";"Post Talk"
"Edit your entry below, then click ""Post Entry"" to publish the entry on your blog.";"Edit your entry below, then click ""Post Entry"" to publish the entry on your blog."
"Compose your new talk entry below, then click Post Entry"" to publish the entry to your talk.""";"If you have a question, topic or blog that you want to share and get answers, this is the right place. ""NOT WORKING"""
"Save Changes";"Save"
"CORE_VIEWS_SCRIPTS_ADMINLANGUAGE_EDIT_DESCRIPTION";"The language phrases in this pack are show below. If you're looking for a specific phrase, use the search box below to find it. Be sure to click ""Save Changes"" before moving to the next page of phrases if you want to keep your changes. Benealth each phrase, you'll see the original phrase for your reference. This is useful if you've lost or accidentally deleted a phrase. Some phrases are in plural form - you'll see examples of numbers used for these phrases in italics."
"CORE_FORM_ADMIN_SETTINGS_EMAIL_DESCRIPTION";"Various notification emails are sent to your members as they interact with the community. Use this form to customize the content of these emails. Any changes you make here will only be saved after you click the ""Save Changes"" button at the bottom of the form."
