#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"Please specify an video title";"Especifique un título para el vídeo"
"Tags (Keywords)";"Palabras (etiquetas) que mejor lo describen"
"Separate tags with commas.";"Separar las etiquetas con comas"
"Category";"Categoría"
"Show this video in search results";"Mostrar este vídeo en los resultados de búsqueda"
"Everyone";"Cualquiera"
"Friends of Friends";"Amigos de amigos"
"Friends Only";"Sólo Amigos"
"Just Me";"Sólo yo"
"Privacy";"Privacidad"
"Who may see this video?";"¿Quién puede ver este Vídeo?"
"Comment Privacy";"Privacidad de los comentarios"
"Who may post comments on this video?";"¿Quién puede comentar este Vídeo?"
"Save Video";"Grabar Vídeo"
"Add New Video";"Añadir Nuevo Vídeo"
"Video Source";"Origen del Vídeo"
"Video Link (URL)";"Enlace del Vídeo (URL)"
"Paste the web address of the video here.";"Copie la dirección donde se encuentra alojado el vídeo."
"Video has been deleted.";"El vídeo ha sido borrado"
"Video posted successfully";"Vídeo publicado correctamente"
"We could not find a video there - please check the URL and try again.";"No pudimos encontrar el vídeo en la dirección facilitada - por favor compruebe el enlace (URL) e inténtelo de nuevo."
"Invalid Data";"Datos inválidos"
"Invalid Method";"Método inválido"
"Max file size limit exceeded (probably).";"Excedido el tamaño de fichero máximo permitido (probablemente)."
"Invalid request method";"Método de solicitud no válido"
"No file";"No hay fichero"
"Invalid Upload";"Subida de archivo no válida"
"An error occurred.";"Ha ocurrido un error"
"Video doesn't exists or not authorized to delete";"El Vídeo bien no existe bien no está autorizado para borrarlo"
"To upload a video from your computer, please use our <a href=%1$s"">full uploader</a>.""";"Para subir un vídeo desde su ordenador, por favor use nuestro <a href=%1$s"">full uploader</a>."""
"Checking URL...";"Comprobando dirección de enlace URL..."
"If you would like to upload a new video, please <a href=%1$s"">delete</a> an old one first.""";"Si quisiera subir un nuevo vídeo, por favor <a href=%1$s"">borre</a> uno antiguo primero."""
"Upload complete.";"Ha finalizado la subida del archivo."
"An error occurred:";"Se ha producido un error:"
"Save Changes";"Guardar cambios"
"or";"o"
"cancel";"cancelar"
"To upload a video from your computer, please use our <a href=""%1$s"">full uploader</a>.";"Para subir un vídeo desde su ordenador, por favor use nuestro <a href=""%1$s"">full uploader</a>."
"Share";"Compartir"
"Report";"Denunciar"
"Highest Rated";"Lo más valorado"
"views";"visualizaciones"
"Autos & Vehicles";"Coches y Vehículos"
"Comedy";"Comedia"
"Education";"Educación"
"Entertainment";"Entretenimiento"
"Film & Animation";"Cine y Animación"
"Gaming";"Juegos"
"Howto & Style";"Estilo y How-to "
"Music";"Música"
"News & Politics";"Noticias y Política"
"Nonprofits & Activism";"ONGs y Activismo"
"People & Blogs";"Gente y Blogs"
"Pets & Animals";"Animales y Mascotas"
"Science & Technology";"Ciencia y Tecnología"
"Sports";"Deportes"
"Travel & Events";"Viajes y Eventos"
"These settings affect all members in your community.";"Estas preferencias afectan a toda su Red Social."
"Path to FFMPEG";"ruta del FFMPEG"
"Please enter the full path to your FFMPEG installation. (Environment variables are not present)";"Por favor, indique la ruta completa hacia su instalación de FFMPEG. (Variables de entorno no presentes)"
"Encoding Jobs";"Codificando trabajos"
"How many jobs do you want to allow to run at the same time?";"¿Cuántos trabajos quiere permitir que se procesen al mismo tiempo?"
"Public Permissions";"Permisos públicos"
"VIDEO_FORM_ADMIN_GLOBAL_VIDEOPERMISSION_DESCRIPTION";"Seleccione si quiere permitir o no al público (visitas a su Red Social que no se identifican) ver la siguiente sección de su Red. En algunos casos (como Perfiles, Blogs y Álbumes), si les ha dado la opción, sus usuarios pueden, no obstante, declararlos privados incluso aunque usted haya establecido que son visibles públicamente. Para más ajustes de este tipo visite la página de Preferencias generales."
"Yes, the public can view videos unless they are made private.";"Sí, el Público puede visionar los vídeos a menos que se declaren privados."
"No, the public cannot view videos.";"No, el Público no puede visionar los vídeos."
"VIDEO_FORM_ADMIN_LEVEL_DESCRIPTION";"Estos ajustes se efectúan según el nivel de usuario. Comience seleccionado el nivel de usuario y después ajuste las preferencias para ese nivel."
"Allow Viewing of Videos?";"¿Permitir visionado de vídeos?"
"Do you want to let members view videos? If set to no, some other settings on this page may not apply.";"¿Desea permitir a sus usuarios ver los vídeos? Si indica que No, puede que algunos otros ajustes en esta página no surtan efecto."
"No, do not allow videos to be viewed.";"No, no permitir el visionado de vídeos."
"Yes, allow viewing of videos.";"Sí, permitir el visionado de vídeos."
"Yes, allow viewing of all videos, even private ones.";"Sí, permitir el visionado de vídeos, incluso de los vídeos privados."
"Allow Editing of Videos?";"¿Permitir editar los vídeos?"
"Do you want to let members edit videos? If set to no, some other settings on this page may not apply.";"¿Desea permitir a los usuarios editar los vídeos? Si indica que No, puede que algunos otros ajustes en esta página no surtan efecto."
"No, do not allow members to edit their videos.";"No, no permitir a los usuarios editar vídeos."
"Yes, allow members to edit their own videos.";"Sí, permitir a los usuarios editar sus propios vídeos."
"Yes, allow members to edit all videos.";"Sí, permitir a los usuarios editar todos los vídeos."
"Allow Deletion of Videos?";"¿Permitir borrado de vídeos?"
"Do you want to let members delete videos? If set to no, some other settings on this page may not apply.";"¿Desea permitir a los usuarios borrar vídeos? Si indica que No, puede que algunos otros ajustes en esta página no surtan efecto."
"No, do not allow members to delete their videos.";"NO. No permitir a los usuarios borrar sus propios vídeos."
"Yes, allow members to delete their own videos.";"SI. Sí permitir a los usuarios borrar sus propios vídeos."
"Yes, allow members to delete all videos.";"SI, permitir a los usuarios borrar TODOS los vídeos."
"Allow Creation of Videos?";"¿Permitir la creación de vídeos?"
"VIDEO_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"¿Desea permitir a sus usuarios crear vídeos? Si indica que No, puede que algunos otros ajustes en esta página no surtan efecto. Esto es especialmente útil si desea permitir visionado de vídeos a sus usuarios pero quiere restringir a unos pocos usuarios o nivel de usuarios el crearlos."
"Yes, allow creation of videos.";"SI, permitir la creación de videos."
"No, do not allow video to be created.";"NO. No permitir la creación de vídeos."
"Video Privacy";"Privacidad de los vídeos"
"VIDEO_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Sus usuarios pueden elegir de entre cualquiera de las opciones marcadas más abajo Quién deciden que pueden ver sus vídeos. Si no selecciona opción alguna, Todos podrán ver sus vídeos."
"Video Comment Options";"Opciones de comentarios a los vídeos"
"VIDEO_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Sus usuarios pueden elegir de entre cualquiera de las opciones marcadas más abajo Quién deciden que puede comentar sus vídeos. Si no selecciona opción alguna, Todos podrán hacer comentarios a sus vídeos."
"Maximum Allowed Videos";"Máximo de vídeos permitido"
"Enter the maximum number of allowed videos. The field must contain an integer between 1 and 999.";"Indique el máximo de vídeos permitido. El campo admite enteros entre 1 y 999."
"Are you sure that you want to delete this video? It will not be recoverable after being deleted.";"Desea eliminar este vídeo, Una vez confirmada esta acción no podrá recuperarlo."
"VIDEO_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Esta página muestra una lista de todos los vídeos que han sido publicados por sus usuarios. Puede emplear esta página para monitorizarlos y eliminar material inapropiado si se da el caso. Eligiendo un criterio de búsqueda en el campo le ayudará a seleccionar vídeos específicos. Si deja el campo en blanco, se le mostrarán todos los vídeos subidos a su Red Social."
"There are no videos posted by your members yet.";"No se han subido vídeos todavía."
"Video Categories";"Categorías de vídeo"
"VIDEO_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"Si desea permitir a sus usuarios la categorización de sus vídeos, cree las categorías más abajo. Esta función es útil si quiere listar los vídeos de todos los usuarios pues en caso de no tener categorías sus usuarios no tendrán la posibilidad de asignar su vídeo a categoría alguna."
"There are currently no categories.";"No ha establecido categorías aún."
"Add New Category";"Añadir nueva categoría"
"Delete Video Category?";"¿borrar categoría de Vídeo?"
"Are you sure that you want to delete this category? It will not be recoverable after being deleted.";"¿Desea borrar esta categoría? Una vez confirmada esta acción no podrá recuperarla."
"This page contains utilities to help configure and troubleshoot the video plugin.";"Esta página contiene herramientas que le ayudan a configurar, localizar y solucionar problemas relacionados con el plugin de vídeo."
"Ffmpeg Version";"Versión de Ffmpeg"
"This will display the current installed version of ffmpeg.";"Esto mostrará la versión instalada actualmente del ffmpeg"
"Supported Video Formats";"Formatos de vídeo aceptados"
"This will run and show the output of ""ffmpeg -formats"". Please see this page for more info.";"Esto ejecutará y mostrará los ""formatos de fmpeg"". Por favor observe esta página para más información."
"We could not find a video there - please check the URL and try again. If you are sure that the URL is valid, please click %s to continue.";"No pudimos encontrar el vídeo - por favor, compruebe la dirección del enlace e inténtelo de nuevo. Si la dirección es correcta, pulse %s para continuar."
"YouTube";"YouTube"
"Vimeo";"Vimeo"
"_EMAIL_VIDEO_COMMENT_TITLE";"Comentario de vídeo"
"_EMAIL_VIDEO_COMMENT_DESCRIPTION";"Este correo se envía al propietario del vídeo cuando alguien efectúa un comentario al mismo.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[message],[link]"
"_EMAIL_VIDEO_COMMENTED_TITLE";"Vídeo comentado"
"_EMAIL_VIDEO_COMMENTED_DESCRIPTION";"Este comentario se envía al usuario cuando alguien comenta un vídeo al que el usuario hizo un comentario también.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[message],[link]"
"_EMAIL_VIDEO_LIKED_TITLE";"Vídeo recomendado"
"_EMAIL_VIDEO_LIKED_DESCRIPTION";"Este correo electrónico se envía al usuario cuando alguien comenta sobre un vídeo que recomendó.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[link]"
"_EMAIL_VIDEO_LIKE_TITLE";"Recomendación al vídeo"
"_EMAIL_VIDEO_LIKE_DESCRIPTION";"Este correo electrónico se envía al propietario cuando a alguien le gusta su vídeo.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[link]"
"_EMAIL_VIDEO_PROCESSED_TITLE";"Vídeo procesado"
"_EMAIL_VIDEO_PROCESSED_DESCRIPTION";"Este correo electrónico se envía al propietario del vídeo una vez el vídeo que ha subido ha sido procesado y listo para ser visionado.
<br />
<br />
Variables disponibles:
<br />
[displayname],[link]"
"_EMAIL_NOTIFY_VIDEO_PROCESSED_TITLE";"Vídeo procesado"
"_EMAIL_NOTIFY_VIDEO_PROCESSED_DESCRIPTION";"Este correo electrónico se envía al propietario del vídeo cuando el vídeo que ha subido ha sido procesado y está listo para ser visionado.
<br />
<br />
Variables disponibles:
<br />
[recipient_title], [host], [object_link]"
"_EMAIL_NOTIFY_VIDEO_PROCESSED_SUBJECT";"Vídeo procesado con éxito"
"_EMAIL_NOTIFY_VIDEO_PROCESSED_BODY";"Buenos días [recipient_title],

Su <b>vídeo</b> se ha procesado y está listo para ser visionado. Pulse el enlace siguiente para verlo:

http://[host][object_link]

Un cordial saludo,
 
Administración Red Social"

"{item:$subject} commented on {item:$owner}'s {item:$object:video}: {body:$body}";"{item:$subject} comentó el {item:$object:video} de {item:$owner}: {body:$body}"
"{item:$subject} posted a new video:";"{item:$subject} ha publicado un nuevo vídeo:"
"ITEM_TYPE_VIDEO";"Videos"
"Videos Plugin";"Plugin de Vídeos"
"Manage Videos";"Administrar Vídeos"
"Video Utilities";"Herramientas de Vídeo"
"Allow Commenting on Videos?";"¿Permitir comentarios a los vídeos?"
"Allow Video Upload?";"¿Permitir subida de vídeos?"
"Do you want to let members of this level comment on videos?";"¿Desea que usuarios de este nivel puedan comentar los vídeos?"
"Yes, allow members to comment on videos.";"Sí, permitir a los usuarios comentar los vídeos."
"No, do not allow members to comment on videos.";"No, no permitir a los usuarios comentar los vídeos."
"Do you want to let members to upload their own videos? If set to no, some other settings on this page may not apply.";"¿Desea que sus usuarios puedan subir vídeos? Si indica que no, algunos de los siguientes ajustes puede que no surtan efecto."
"Yes, allow video uploads.";"Sí, permitir subir vídeos."
"No, do not allow video uploads.";"No, no permitir subir vídeos."
"Enter the maximum number of allowed videos. The field must contain an integer, use zero for unlimited.";"Indicar el máximo número de vídeos permitido. Debe teclear un número entero, use cero para establecer un número de vídeos ilimitado."
"Popular Videos";"Vídeos más vistos"
"Profile Videos";"Vídeos del Perfil"
"Recent Videos";"Vídeos en archivo"



"User";"Usuario"
"Approve Selected";"Aprobar seleccionados"
"Post";"Publicar"
"If you already have an account, please enter your details below. If you don't have one yet, please <a href='%s'>sign up</a> first.";"Si ya dispone de cuenta de usuario en la Red Social, introduzca sus datos más abajo. Si no dispone de ella y considera que debería tener acceso a la misma <a href='%s'>cree una</a> primero."
"<span><a href='%s'>Forgot Password?</a></span>";"<span><a href='%s'>¿Olvidó su contraseña?</a></span>"
"Block Member";"Bloquear usuario"
"Do you want to block this member?";"¿De verdad quiere bloquear a este usuario?"
"Cancel";"Cancelar"
"Unblock Member";"Desbloquear usuario"
"Do you want to unblock this member?";"¿Desea desbloquear a este usuario?"

#PHOTOS PROFILE

"Make Profile Photo";"Hacer foto para el perfil"
"Do you want to make this photo your profile photo?";"¿Quiere convertir esta foto en su foto del perfil?"
"Save";"Guardar"
"Edit Member Profile";"Editar perfil del Usuario"
"%1$s's Profile";"Perfil de %1$s"
"Current Photo";"Foto actual"
"Choose New Photo";"Elegir foto nueva"
"Save Photo";"Grabar foto"
"Profile Photos";"Fotos del perfil"
"Profile Style";"Estilo del perfil"
"Add your own CSS code above to give your profile a more personalized look.";"Definir sus propios estilos CSS."
"Save Styles";"Grabar estilos"
"Add Friend";"Añadir como contacto"
"Would you like to add this member as a friend?";"¿Le gustaría añadir a este usuario como contacto?"
"Cancel Friend Request";"Revocar petición de contacto"
"Do you want to cancel your friend request?";"¿Quiere revocar su petición de contacto?"
"Cancel Request";"Cancelar petición"
"Confirm Friend";"Confirmar contacto"
"Would you like to confirm this member as a friend?";"¿Desea confirmar a este usuario como contacto?"
"Reject Friend";"Rechazar contacto"
"Would you like to reject this member as a friend?";"¿Desea rechazar a este usuario como contacto?"
"Remove Friend";"Quitar"
"Are you sure you want to remove this member as a friend?";"¿Está seguro que desea eliminar este usuario de su lista de amigos?"
"Delete Account";"Eliminar cuenta"
"Are you sure you want to delete your account? Any content you've uploaded in the past will be permanently deleted. You will be immediately signed out and will no longer be able to sign in with this account.";"Está seguro de querer eliminar su cuenta de usuario? Todo el contenido que haya publicado será borrado permanentemente. Saldrá de la Red Social y posteriormente ya no podrá ingresar en la plataforma como lo venía haciendo con esta cuenta debiendo, si lo desea, crear una nueva."
"Yes, Delete My Account";"Si, eliminar mi cuenta"
"This is the last super admin account. Please reconsider before deleting this account.";"Es la ultima cuenta como superAdministrador, píenselo bien antes de eliminarla."
"My Settings";"Preferencias"
"General";"General"
"Notifications";"Notificaciones"
"General Settings";"Preferencias generales"
"Notification Settings";"Configuración de las notificaciones"
"Email Address";"Correo Electrónico"
"Please enter a valid email address.";"Por favor introduzca una cuenta de correo válida."
"Someone has already registered this email address, please use another one.";"Alguien ha registrado ya un usuario con este correo electrónico, por favor use una nueva dirección para crear la ficha."
"Profile Address";"Dirección del Perfil"
"Please enter a valid profile address.";"Introduzca una dirección de perfil correcta."
"Someone has already picked this profile address, please use another one.";"Alguien ya ha seleccionado esta dirección, por favor seleccione una nueva."
"Profile addresses must start with a letter.";"La dirección del perfil debe comenzar con una letra."
"Profile addresses must be alphanumeric.";"La dirección del perfil debe ser alfanumérica."
"Account Type";"Tipo de cuenta"
"Timezone";"Zona horaria"
"Locale";"Lugar"
"Dates, times, and other settings will be displayed using this locale setting.";"Fechas, horas, y otros ajustes se mostrarán de acuerdo a esta configuración de zona."
"Email Alerts";"Alertas por correo electrónico"
"Which of the these do you want to receive email alerts about?";"¿De cuáles de los siguientes desea recibir alertas por correo electrónico?"
"Join Network";"Unirse a una Red"
"Change Password";"Cambiar contraseña"
"Old Password";"Contraseña anterior"
"New Password";"Nueva Contraseña"
"Passwords must be at least 6 characters in length.";"La contraseña debe constar como mínimo de 6 caracteres."
"New Password (again)";"Nueva contraseña (repetir)"
"Enter your password again for confirmation.";"Teclee de nuevo su contraseña para confirmarla."
"Privacy Settings";"Preferencias de privacidad"
"Blocked Members";"Usuarios Bloqueados"
"Adding a person to your block list makes your profile (and all of your other content) unviewable to them. Any connections you have to the blocked person will be canceled. To add someone to your block list, visit that person's profile page.";"Una vez que bloquea a un usuario impide que su perfil y todo el contenido no puedan ser visibles por el mismo. Para incluir a alguien en la lista de usuarios bloqueados, vaya al perfil de dicho usuario y busque la opción de""Bloquear Usuario""."
"Do not display me in searches, browsing members, or the ""Online Members"" list.";"No mostrarme en las búsquedas, listados de usuarios o listados de ""usuarios conectados"""
"Profile Privacy";"Privacidad del perfil"
"Who can view your profile?";"¿Quién puede ver su perfil?"
"Profile Posting Privacy";"¿Privacidad para publicación en el perfil"
"Who can post on your profile?";"¿Quién puede publicar algo en su perfil?"
"Only Me";"Sólo yo"
"Only My Friends";"Sólo mis amigos"
"Only My Networks";"Sólo mis Redes"
"All Members";"Todos los usuarios"
"Recent Activity Privacy";"Privacidad de Titulares de noticias"
"Which of the following things do you want to have published about you in the recent activity feed? Note that changing this setting will only affect future news feed items.";"¿Cuáles de los siguientes detalles quiere que aparezcan publicados sobre usted en la actividad reciente? Tenga en cuenta que los cambios que efectúe sólo se aplicarán a lo que se publique a partir de este momento"
"Create Account";"Crear cuenta de usuario"
"You will use your email address to login.";"Se utilizará como nombre de usuario para identificarse."
"Password";"Contraseña"
"Please enter a valid password.";"Por favor, introduzca una contraseña válida."
"Password Again";"Teclear de nuevo la contraseña"
"Please make sure the ""password"" and ""password again"" fields match.";"Asegúrese de que la información que teclea en los campos ""contraseña"" y ""contraseña de nuevo"" coincide."
"Password did not match";"No coincide la contraseña"
"Language";"Idioma"
"Continue";"Continuar"
"Member Sign In";"Identificación de Usuario"
"Remember Me";"Recordar mis datos"
"Human Verification";"Filtro anti Spam"
"Please validate that you are not a robot by typing in the letters and numbers in this image:";"teclee las letras y números que aparecen en el recuadro. Esta medida pretende evitar el Spam y los robots que crean automáticamente usuarios:"
"Login";"Entrar"
"Edit My Profile";"Editar mi perfil"
"Personal Info";"Mis datos"
"Edit My Photo";"Cambiar foto del perfil"
"clear";"limpiar"
"add to list";"añadir a la lista"
"Choose Friend List";"Elegir lista de amigos"
"New list...";"Nueva lista..."
"%1$s has sent you a friend request.";"%1$s le ha añadido como contacto."
"ignore request";"ignorar petición"
"Browse Members";"Listar usuarios"
"%s member found.";"%s usuario encontrado.";"%s usuarios encontrados."
"Loading...";"Cargando..."
"View More";"Ver más"
"Post something...";"Publicar algo..."
"Post Something...";"Publicar algo..."
"Missing heading";"Falta cabecera"
"Member Info";"Estadísticas"
"Member Type:";"Tipo de usuario:"
"This profile is private - only friends of this member may view it.";"Perfil privado. Solo sus amigos pueden visualizarlo."
"Settings were successfully saved.";"Los ajustes se han guardado con éxito."
"My Networks";"Mis Redes"
"You belong to %s network.";"Pertenece a %s Red.";"Pertenece a %s Redes."
"%s member.";"%s usuario.";"%s usuarios."
"Leave Network";"Abandonar Red"
"To add a new network, begin typing its name below.";"Para unirse a una nueva Red, empiece tecleando en el campo a continuación."
"We now";"Nosotros ahora"
"yourname";"direcciondelperfil"
"Signup complete!";"Registro completo"
"skip";"saltar paso"
"Edit Thumbnail";"Editar captura"
"Apply Changes";"Aplicar cambios"
"Hi %1$s!";"Identificado como %1$s"
"Lists:";"Listas"
"Mutual Friends";"Amigos comunes"
"Profile Views:";"Visto:"
"Friends:";"Amigos:"
"Last Update:";"Última actualización:"
"Joined:";"Alta:"
"%s friend";"%s contacto";"%s amigos"
"You are already signed in.";"Ya estás identificado."
"No record of a member with that email was found.";"No se encontró ningún usuario con ese correo electrónico."
"Invalid credentials";"Credenciales incorrectas"
"Invalid credentials supplied";"Se han facilitado credenciales incorrectas"
"You are already logged out.";"Ya ha cerrado sesión."
"Another member has already associated with that facebook account";"Otro usuario ya ha asociado su cuenta con esa cuenta de FaceBook"
"Login successful";"Autenticado correctamente"
"You are now logged out.";"Usted ha cerrado la sesión."
"No member specified";"No se ha especificado Usuario"
"No action taken";"No se han realizado acciones"
"Invalid data";"Datos incorrectos"
"An error has occurred.";"Ha ocurrido un error."
"Member unblocked";"Usuario desbloqueado"
"Member blocked";"Usuario bloqueado"
"The uploaded file is not supported or is corrupt.";"El fichero que ha subido bien no es aceptado o está dañado."
"Set as profile photo";"Fijar como foto del perfil"
"Your changes have been saved.";"Se han guardado sus cambios."
"Missing list/not authorized";"Lista no localizada/no autorizada"
"Already in list";"Ya en la lista"
"Member added to list.";"Usuario añadido a la lista."
"Already not in list";"Ya no está en la lista"
"Member removed from list.";"Usuario excluido de la lista."
"List deleted";"Lista borrada"
"You cannot befriend yourself.";"No puede ser contacto de sí mismo."
"You are already friends with this member.";"Ya ha establecido contacto con este usuario."
"Friendship request was not sent because you blocked this member.";"No se ha enviado la solicitud de contacto pues usted ha bloqueado a ese usuario."
"Your friend request has been sent.";"Se ha enviado su solicitud de contacto."
"Your friend request has been cancelled.";"Se ha cancelado su solicitud de contacto."
"You are now friends with %1$s";"Ha añadido como contacto a %1$s"
"You ignored a friend request from %1$s";"Ha ignorado la solicitud de contacto de %1$s"
"This person has been removed from your friends.";"Esta persona ha sido borrada de su lista de amigos."
"Settings saved.";"Ajustes guardados."
"Passwords did not match";"Las contraseñas no coinciden"
"Old password did not match";"La contraseña antigua proporcionada no coincide"
"Network not found";"Red no encontrada"

"Invalid param count";"Contador de parámetro no válido"
"Invalid param value";"Valor de parámetro no válido"
"USER_ADMIN_SIGNUP_STEP_1";"Crear Cuenta"
"USER_ADMIN_SIGNUP_STEP_2";"Crear Perfil"
"USER_ADMIN_SIGNUP_STEP_3";"Subir foto del Perfil"
"USER_ADMIN_SIGNUP_STEP_4";"Invitar a formar parte la Red Social"
"USER_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"Puede integrar esta Aplicación con FaceBook. Para ello, cree una aplicación en <a href=""http://www.facebook.com/developers/#!/developers/apps.php"" target=""_blank"">Página Desarrolladores de FaceBook</a>."
"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>.";"He leído y aceptado las <a target=""_blank"" href=""%s/help/terms"">Condiciones de Uso</a>."
"Terms of Service";"Condiciones de Uso"
"You must agree to the terms of service to continue.";"Debe aceptar las Condiciones de Uso del Servicio para poder continuar."
